Savoy cabbage,Brassica oleracea var. sabauda,Vegetables,Cabbages
Allium (Onion),Allium,Vegetables,Onion-family vegetables
Garden onion,Allium cepa,Vegetables,Onion-family vegetables
Leek,Allium porrum,Vegetables,Onion-family vegetables
Burdock,Arctium lappa,Vegetables,Root vegetables
Asparagus,Asparagus officinalis,Vegetables,Shoot vegetables
Common beet,Beta vulgaris,Vegetables,Leaf vegetables
Chinese mustard,Brassica juncea,Vegetables,Cabbages
Swede,Brassica napus,Vegetables,Root vegetables
Rape,Brassica napus var. napus,Vegetables,Root vegetables
Common cabbage,Brassica oleracea,Vegetables,Cabbages
Cauliflower,Brassica oleracea var. botrytis,Vegetables,Cabbages
Brussel sprouts,Brassica oleracea var. gemmifera,Vegetables,Cabbages
Kohlrabi,Brassica oleracea var. gongylodes,Vegetables,Root vegetables
Broccoli,Brassica oleracea var. italica,Vegetables,Cabbages
Chinese cabbage,Brassica rapa,Vegetables,Cabbages
Pepper (C. annuum),Capsicum annuum,Vegetables,Fruit vegetables
Endive,Cichorium endivia,Vegetables,Leaf vegetables
Chicory,Cichorium intybus,Vegetables,Root vegetables
Globe artichoke,Cynara scolymus,Vegetables,Shoot vegetables
Wild carrot,Daucus carota,Vegetables,Root vegetables
Rocket salad (ssp.),Eruca vesicaria ssp. sativa,Vegetables,Leaf vegetables
Swamp cabbage,Ipomoea aquatica,Vegetables,Leaf vegetables
Sweet potato,Ipomoea batatas,Vegetables,Tubers
Lettuce,Lactuca sativa,Vegetables,Leaf vegetables
Garden cress,Lepidium sativum,Vegetables,Leaf vegetables
Olive,Olea europaea,Vegetables,Fruit vegetables
Parsnip,Pastinaca sativa,Vegetables,Root vegetables
Avocado,Persea americana,Vegetables,Fruit vegetables
Radish,Raphanus sativus,Vegetables,Root vegetables
Garden rhubarb,Rheum rhabarbarum,Vegetables,Stalk vegetables
Garden tomato,Solanum lycopersicum,Vegetables,Fruit vegetables
Cherry tomato,Solanum lycopersicum var. cerasiforme,Vegetables,Fruit vegetables
Garden tomato (var.),Solanum lycopersicum var. lycopersicum,Vegetables,Fruit vegetables
Eggplant,Solanum melongena,Vegetables,Fruit vegetables
Potato,Solanum tuberosum,Vegetables,Tubers
Spinach,Spinacia oleracea,Vegetables,Leaf vegetables
Celeriac,Apium graveolens var. rapaceum,Vegetables,Root vegetables
Celery stalks,Apium graveolens var. dulce,Vegetables,Stalk vegetables
Garden onion (var.),Allium cepa var. cepa,Vegetables,Onion-family vegetables
Pepper (C. baccatum),Capsicum baccatum var. baccatum,Vegetables,Fruit vegetables
Pepper (C. chinense),Capsicum chinense,Vegetables,Fruit vegetables
Pepper (Capsicum),Capsicum,Vegetables,Fruit vegetables
Swiss chard,Beta vulgaris ssp. cicla,Vegetables,Leaf vegetables
Tronchuda cabbage,Brassica oleracea var. costata,Vegetables,Cabbages
Shallot,Allium ascalonicum,Vegetables,Onion-family vegetables
Rocket salad,Eruca vesicaria,Vegetables,Leaf vegetables
Carrot,Daucus carota ssp. sativus,Vegetables,Root vegetables
Black cabbage,Brassica oleracea var. viridis,Vegetables,Cabbages
Chicory leaves,Cichorium intybus var. foliosum,Vegetables,Leaf vegetables
Komatsuna,Brassica rapa var. perviridis,Vegetables,Cabbages
Pak choy,Brassica rapa var. chinensis,Vegetables,Cabbages
Napa cabbage,Brassica rapa var. pekinensis,Vegetables,Cabbages
Chicory roots,Cichorium intybus var. sativum,Vegetables,Root vegetables
Kai-lan,Brassica oleracea var. alboglabra,Vegetables,Cabbages
Oxheart cabbage,Brassica oleracea var. conica,Vegetables,Cabbages
Daikon radish,Raphanus sativus var. longipinnatus,Vegetables,Root vegetables
Black radish,Raphanus sativus var. niger,Vegetables,Root vegetables
Radish (var.),Raphanus sativus var. sativus,Vegetables,Root vegetables
Red beetroot,Beta vulgaris var. rubra,Vegetables,Root vegetables
Arrowhead,Sagittaria latifolia,Vegetables,Tubers
Arrowroot,Maranta arundinacea,Vegetables,Tubers
Bamboo shoots,Phyllostachys edulis,Vegetables,Shoot vegetables
Rapini,Brassica ruvo,Vegetables,Cabbages
Giant butterbur,Petasites japonicus,Vegetables,Other vegetables
Cardoon,Cynara cardunculus,Vegetables,Shoot vegetables
Carob,Ceratonia siliqua,Vegetables,Other vegetables
Cassava,Manihot esculenta,Vegetables,Tubers
Chinese broccoli,Brassica alboglabra,Vegetables,Cabbages
Chinese water chestnut,Eleocharis dulcis,Vegetables,Other vegetables
Garland chrysanthemum,Chrysanthemum coronarium,Vegetables,Leaf vegetables
Corn salad,Valerianella locusta,Vegetables,Leaf vegetables
Oregon yampah,Perideridia oregana,Vegetables,Root vegetables
Groundcherry,Physalis,Vegetables,Fruit vegetables
Horseradish tree,Moringa oleifera,Vegetables,Other vegetables
Jerusalem artichoke,Helianthus tuberosus,Vegetables,Tubers
Jute,Corchorus olitorius,Vegetables,Leaf vegetables
Kale,Brassica napus var. pabularia,Vegetables,Cabbages
Lambsquarters,Chenopodium album,Vegetables,Leaf vegetables
Wild leek,Allium ampeloprasum,Vegetables,Onion-family vegetables
Sacred lotus,Nelumbo nucifera,Vegetables,Other vegetables
Malabar spinach,Basella alba,Vegetables,Leaf vegetables
Alpine sweetvetch,Hedysarum alpinum,Vegetables,Root vegetables
Mountain yam,Dioscorea pentaphylla,Vegetables,Tubers
Mustard spinach,Brassica perviridis,Vegetables,Cabbages
New Zealand spinach,Tetragonia tetragonioides,Vegetables,Leaf vegetables
Nopal,Opuntia cochenillifera,Vegetables,Other vegetables
Okra,Abelmoschus esculentus,Vegetables,Other vegetables
Pepper (C. frutescens),Capsicum annuum var. annuum,Vegetables,Fruit vegetables
American pokeweed,Phytolacca americana,Vegetables,Shoot vegetables
Prairie turnip,Pediomelum esculentum,Vegetables,Root vegetables
Common salsify,Tragopogon porrifolius,Vegetables,Root vegetables
Sesbania flower,Sesbania bispinosa,Vegetables,Other vegetables
Taro,Colocasia esculenta,Vegetables,Root vegetables
Mexican groundcherry,Physalis philadelphica var. immaculata,Vegetables,Fruit vegetables
Yam,Dioscorea,Vegetables,Tubers
Jicama,Pachyrhizus erosus,Vegetables,Root vegetables
Yautia,Xanthosoma sagittifolium,Vegetables,Leaf vegetables
Alaska wild rhubarb,Polygonum alpinum,Vegetables,Stalk vegetables
Jew's ear,Auricularia auricula-judae,Vegetables,Mushrooms
Common mushroom,Agaricus bisporus,Vegetables,Mushrooms
Shiitake,Lentinus edodes,Vegetables,Mushrooms
Enokitake,Flammulina velutipes,Vegetables,Mushrooms
Oyster mushroom,Pleurotus ostreatus,Vegetables,Mushrooms
Cloud ear fungus,Auricularia polytricha,Vegetables,Mushrooms
Maitake,Grifola frondosa,Vegetables,Mushrooms
Ostrich fern,Matteuccia struthiopteris,Vegetables,Leaf vegetables
Agave,Agave,Vegetables,Other vegetables
Narrowleaf cattail,Typha angustifolia,Vegetables,Other vegetables
Chanterelle,Cantharellus cibarius,Vegetables,Mushrooms
Black salsify,Scorzonera hispanica,Vegetables,Root vegetables
Thistle,Cirsium,Vegetables,Root vegetables
Other vegetable product,NULL,Vegetables,Vegetable products
Heart of palm,NULL,Vegetables,Other vegetables
Morchella (Morel),Morchellaceae,Vegetables,Mushrooms
Tree fern,Cyathea,Vegetables,Other vegetables
Pepper (C. pubescens),Capsicum pubescens,Vegetables,Fruit vegetables
Cabbage,Brassica oleracea var. capitata,Vegetables,Cabbages
Mushrooms,NULL,Vegetables,Mushrooms
Onion-family vegetables,NULL,Vegetables,Onion-family vegetables
Brassicas,NULL,Vegetables,Brassicas
Green vegetables,NULL,Vegetables,Green vegetables
Root vegetables,NULL,Vegetables,Root vegetables
Green bell pepper,Capsicum annuum,Vegetables,Fruit vegetables
Yellow bell pepper,Capsicum annuum,Vegetables,Fruit vegetables
Orange bell pepper,Capsicum annuum,Vegetables,Fruit vegetables
Red bell pepper,Capsicum annuum,Vegetables,Fruit vegetables
Italian sweet red pepper,Capsicum annuum,Vegetables,Fruit vegetables
White cabbage,Brassica oleracea L. var. capitata L. f. alba DC.,Vegetables,Cabbages
Romaine lettuce,Lactuca sativa L. var. longifolia,Vegetables,Leaf vegetables
